% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.505	1	1	51	6	1	10	501
0.524	1	1	53	5	1	20	1239
0.543	1	1	55	4	1	20	1239
0.544	1	1	55	5	1	20	1239
0.562	1	1	57	3	1	18	999
0.563	1	1	57	4	1	18	999
0.582	1	1	59	3	1	18	999
0.583	1	1	59	4	1	18	999
0.601	1	1	61	2	1	14	807
0.602	1	1	61	3	1	14	807
0.603	1	1	61	4	1	14	807
0.604	1	1	61	5	1	14	807
0.605	1	1	61	6	1	14	807
0.606	1	1	61	7	1	14	807
0.621	1	1	63	2	1	14	807
0.622	1	1	63	3	1	14	807
0.623	1	1	63	4	1	14	807
0.624	1	1	63	5	1	14	807
0.625	1	1	63	6	1	14	807
0.626	1	1	63	7	1	14	807
0.627	1	1	63	8	1	14	807
0.628	1	1	63	9	1	14	807
0.629	1	1	63	10	1	14	807
0.63	1	1	64	1	1	14	807
0.641	1	1	65	2	1	10	501
0.642	1	1	65	3	1	10	501
0.643	1	1	65	4	1	10	501
0.644	1	1	65	5	1	10	501
0.645	1	1	65	6	1	10	501
0.646	1	1	65	7	1	10	501
0.647	1	1	65	8	1	10	501
0.648	1	1	65	9	1	8	437
0.649	1	1	65	10	1	8	437
0.65	1	1	66	1	1	8	437
0.651	1	1	66	2	1	8	437
0.652	1	1	66	3	1	8	437
0.653	1	1	66	4	1	8	437
0.654	1	1	66	5	1	8	437
0.655	1	1	66	6	1	8	437
0.656	1	1	66	7	1	8	437
0.657	1	1	66	8	1	8	437
0.658	1	1	66	9	1	8	437
0.659	1	1	66	10	1	8	437
0.66	1	1	67	1	1	8	437
0.661	1	1	67	2	1	8	437
0.662	1	1	67	3	1	8	437
0.663	1	1	67	4	1	8	437
0.664	1	1	67	5	1	8	437
0.665	1	1	67	6	1	8	437
0.666	1	1	67	7	1	10	501
0.667	1	1	67	8	1	10	501
0.668	1	1	67	9	1	10	501
0.669	1	1	67	10	1	10	501
0.67	1	1	68	1	1	10	501
0.671	1	1	68	2	1	10	501
0.672	1	1	68	3	1	10	501
0.673	1	1	68	4	1	12	621
0.674	1	1	68	5	1	12	621
0.675	1	1	68	6	1	12	621
0.676	1	1	68	7	1	12	621
0.677	1	1	68	8	1	12	621
0.678	1	1	68	9	1	12	621
0.679	1	1	68	10	1	12	621
0.68	1	1	69	1	1	12	621
0.681	1	1	69	2	1	12	621
0.682	1	1	69	3	1	12	621
0.683	1	1	69	4	1	12	621
0.684	1	1	69	5	1	12	621
0.685	1	1	69	6	1	14	807
0.686	1	1	69	7	1	14	807
0.687	1	1	69	8	1	14	807
0.688	1	1	69	9	1	14	807
0.689	1	1	69	10	1	14	807
0.69	1	1	70	1	1	14	807
0.691	1	1	70	2	1	14	807
0.692	1	1	70	3	1	14	807
0.693	1	1	70	4	1	14	807
0.694	1	1	70	5	1	14	807
0.695	1	1	70	6	1	14	807
0.696	1	1	70	7	1	14	807
0.697	1	1	70	8	1	14	807
0.698	1	1	70	9	1	14	807
0.699	1	1	70	10	1	14	807
0.7	1	1	71	1	1	14	807
0.701	1	1	71	2	1	14	807
0.702	1	1	71	3	1	14	807
0.703	1	1	71	4	1	14	807
0.704	1	1	71	5	1	14	807
0.705	1	1	71	6	1	14	807
0.706	1	1	71	7	1	14	807
0.707	1	1	71	8	1	14	807
0.708	1	1	71	9	1	14	807
0.709	1	1	71	10	1	14	807
0.71	1	1	72	1	1	14	807
0.711	1	1	72	2	1	14	807
0.712	1	1	72	3	1	14	807
0.713	1	1	72	4	1	14	807
0.714	1	1	72	5	1	14	807
0.715	1	1	72	6	1	14	807
0.716	1	1	72	7	1	14	807
0.717	1	1	72	8	1	14	807
0.718	1	1	72	9	1	14	807
0.719	1	1	72	10	1	14	807
0.72	1	1	73	1	1	14	807
0.721	1	1	73	2	1	14	807
0.722	1	1	73	3	1	14	807
0.723	1	1	73	4	1	14	807
0.724	1	1	73	5	1	14	807
0.725	1	1	73	6	1	14	807
0.726	1	1	73	7	1	12	621
0.727	1	1	73	8	1	12	621
0.728	1	1	73	9	1	12	621
0.729	1	1	73	10	1	12	621
0.73	1	1	74	1	1	12	621
0.731	1	1	74	2	1	12	621
0.732	1	1	74	3	1	12	621
0.733	1	1	74	4	1	12	621
0.734	1	1	74	5	1	12	621
0.735	1	1	74	6	1	12	621
0.736	1	1	74	7	1	12	621
0.737	1	1	74	8	1	12	621
0.738	1	1	74	9	1	12	621
0.739	1	1	74	10	1	10	501
0.74	1	1	75	1	1	10	501
0.741	1	1	75	2	1	10	501
0.742	1	1	75	3	1	10	501
0.743	1	1	75	4	1	10	501
0.744	1	1	75	5	1	10	501
0.745	1	1	75	6	1	10	501
0.746	1	1	75	7	1	10	501
0.747	1	1	75	8	1	10	501
0.748	1	1	75	9	1	8	437
0.749	1	1	75	10	1	8	437
0.75	1	1	76	1	1	8	437
0.751	1	1	76	2	1	8	437
0.752	1	1	76	3	1	8	437
0.753	1	1	76	4	1	10	501
0.754	1	1	76	5	1	6	325
0.755	1	1	76	6	1	6	325
0.756	1	1	76	7	1	6	325
0.757	1	1	76	8	1	6	325
0.758	1	1	76	9	1	6	325
0.759	1	1	76	10	1	6	325
0.76	1	1	77	1	1	6	325
0.761	1	1	77	2	1	4	225
0.762	1	1	77	3	1	4	225
0.763	1	1	77	4	1	4	225
0.764	1	1	77	5	1	4	225
0.765	1	1	77	6	1	2	137
0.766	1	1	77	7	1	2	137
0.767	1	1	77	8	1	2	137
0.768	1	1	77	9	1	2	137
0.769	1	1	77	10	1	0	85
0.77	1	1	78	1	1	0	85
0.801	1	1	81	2	1	8	437
0.802	1	1	81	3	1	8	437
0.803	1	1	81	4	1	8	437
0.804	1	1	81	5	1	8	437
0.805	1	1	81	6	1	8	437
0.806	1	1	81	7	1	8	437
0.807	1	1	81	8	1	8	437
0.808	1	1	81	9	1	10	501
0.809	1	1	81	10	1	10	501
0.81	1	1	82	1	1	10	501
0.811	1	1	82	2	1	10	501
0.812	1	1	82	3	1	10	501
0.813	1	1	82	4	1	10	501
0.814	1	1	82	5	1	12	621
0.815	1	1	82	6	1	12	621
0.816	1	1	82	7	1	12	621
0.817	1	1	82	8	1	12	621
0.818	1	1	82	9	1	12	621
0.819	1	1	82	10	1	12	621
0.82	1	1	83	1	1	12	621
0.821	1	1	83	2	1	12	621
0.822	1	1	83	3	1	12	621
0.823	1	1	83	4	1	12	621
0.824	1	1	83	5	1	12	621
0.825	1	1	83	6	1	12	621
0.826	1	1	83	7	1	12	621
0.827	1	1	83	8	1	12	621
0.828	1	1	83	9	1	12	621
0.829	1	1	83	10	1	12	621
0.83	1	1	84	1	1	12	621
0.831	1	1	84	2	1	14	807
0.832	1	1	84	3	1	14	807
0.833	1	1	84	4	1	14	807
0.834	1	1	84	5	1	14	807
0.835	1	1	84	6	1	14	807
0.836	1	1	84	7	1	14	807
0.837	1	1	84	8	1	14	807
0.838	1	1	84	9	1	14	807
0.839	1	1	84	10	1	14	807
0.84	1	1	85	1	1	14	807
0.841	1	1	85	2	1	14	807
0.842	1	1	85	3	1	14	807
0.843	1	1	85	4	1	14	807
0.844	1	1	85	5	1	14	807
0.845	1	1	85	6	1	14	807
0.846	1	1	85	7	1	14	807
0.847	1	1	85	8	1	14	807
0.848	1	1	85	9	1	14	807
0.849	1	1	85	10	1	16	967
0.85	1	1	86	1	1	16	967
0.851	1	1	86	2	1	16	967
0.852	1	1	86	3	1	16	967
0.853	1	1	86	4	1	16	967
0.854	1	1	86	5	1	16	967
0.855	1	1	86	6	1	16	967
0.856	1	1	86	7	1	16	967
0.857	1	1	86	8	1	18	999
0.866	1	1	87	7	1	18	999
0.867	1	1	87	8	1	18	999
0.868	1	1	87	9	1	18	999
0.869	1	1	87	10	1	18	999
0.87	1	1	88	1	1	18	999
0.871	1	1	88	2	1	18	999
0.872	1	1	88	3	1	18	999
0.873	1	1	88	4	1	20	1239
0.874	1	1	88	5	1	20	1239
0.875	1	1	88	6	1	20	1239
0.876	1	1	88	7	1	20	1239
0.877	1	1	88	8	1	20	1239
0.878	1	1	88	9	1	20	1239
0.879	1	1	88	10	1	20	1239
