% time	cellId	IMSI	RNTI	sinrLinear
0.041	1	1	1	60.3337
0.081	1	1	1	13.8339
0.121	1	1	1	72.5265
0.161	1	1	1	82.8997
0.201	1	1	1	10.7849
0.241	1	1	1	73.4789
0.281	1	1	1	97.2426
0.321	1	1	1	40.0189
0.361	1	1	1	34.3922
0.401	1	1	1	32.6361
0.441	1	1	1	26.6564
0.481	1	1	1	11.3611
0.521	1	1	1	101.613
0.561	1	1	1	71.1758
0.601	1	1	1	32.2073
0.641	1	1	1	35.318
0.681	1	1	1	30.3188
0.721	1	1	1	20.9466
0.761	1	1	1	9.19412
0.801	1	1	1	33.8772
0.841	1	1	1	73.2658
0.881	1	1	1	110.048
0.921	1	1	1	86.0727
0.961	1	1	1	19.0597
1.001	1	1	1	68.9276
1.041	1	1	1	45.8237
1.081	1	1	1	22.8343
1.121	1	1	1	3.39258
1.161	1	1	1	6.9289
1.201	1	1	1	9.06967
1.241	1	1	1	68.3001
1.281	1	1	1	105.143
1.321	1	1	1	29.687
1.361	1	1	1	18.8309
1.401	1	1	1	45.207
1.441	1	1	1	10.0996
1.481	1	1	1	26.6036
1.521	1	1	1	41.0485
1.561	1	1	1	52.5207
1.601	1	1	1	93.7185
1.641	1	1	1	28.6771
1.681	1	1	1	92.2841
1.721	1	1	1	92.9514
1.761	1	1	1	8.07358
1.801	1	1	1	92.6552
1.841	1	1	1	83.317
1.881	1	1	1	28.672
1.921	1	1	1	58.6942
1.961	1	1	1	57.4987
2.001	1	1	1	6.98585
2.041	1	1	1	10.3202
2.081	1	1	1	64.7664
2.121	1	1	1	106.985
2.161	1	1	1	61.5238
2.201	1	1	1	53.5544
2.241	1	1	1	45.7661
2.281	1	1	1	8.73333
2.321	1	1	1	3.4084
2.361	1	1	1	6.1224
2.401	1	1	1	11.4455
2.441	1	1	1	8.7401
2.481	1	1	1	27.5313
2.521	1	1	1	29.4441
2.561	1	1	1	20.3676
2.601	1	1	1	5.21881
2.641	1	1	1	12.6476
2.681	1	1	1	17.357
2.721	1	1	1	28.6711
2.761	1	1	1	21.4177
2.801	1	1	1	18.1568
2.841	1	1	1	7.94326
2.881	1	1	1	21.3452
2.921	1	1	1	38.8219
2.961	1	1	1	6.31246
3.001	1	1	1	97.9113
3.041	1	1	1	79.6673
3.081	1	1	1	25.7006
3.121	1	1	1	21.7713
3.161	1	1	1	4.86047
3.201	1	1	1	6.29732
3.241	1	1	1	32.361
3.281	1	1	1	33.8916
3.321	1	1	1	5.63199
3.361	1	1	1	54.9632
3.401	1	1	1	54.9133
3.441	1	1	1	9.02678
3.481	1	1	1	11.7058
3.521	1	1	1	37.865
3.561	1	1	1	10.1002
3.601	1	1	1	30.5033
3.641	1	1	1	115.105
3.681	1	1	1	100.58
3.721	1	1	1	9.56359
3.761	1	1	1	56.5471
3.801	1	1	1	69.3832
3.841	1	1	1	2.06075
3.881	1	1	1	46.2287
3.921	1	1	1	57.0346
3.961	1	1	1	5.40113
4.001	1	1	1	26.049
4.041	1	1	1	21.9207
4.081	1	1	1	5.18394
4.121	1	1	1	5.88596
4.161	1	1	1	31.5253
4.201	1	1	1	34.5571
4.241	1	1	1	5.47043
4.281	1	1	1	53.3176
4.321	1	1	1	56.0346
4.361	1	1	1	9.3444
4.401	1	1	1	11.7206
4.441	1	1	1	1.7726
4.481	1	1	1	16.865
4.521	1	1	1	44.0631
4.561	1	1	1	59.0027
4.601	1	1	1	17.3329
4.641	1	1	1	45.0379
4.681	1	1	1	22.8401
4.721	1	1	1	13.5703
4.761	1	1	1	20.4955
4.801	1	1	1	10.3901
4.841	1	1	1	53.3736
4.881	1	1	1	28.1384
4.921	1	1	1	13.8478
4.961	1	1	1	52.0119
5.001	1	1	1	18.3408
5.041	1	1	1	15.3658
5.081	1	1	1	44.3835
5.121	1	1	1	99.7285
5.161	1	1	1	48.2975
5.201	1	1	1	19.7195
5.241	1	1	1	65.3181
5.281	1	1	1	44.8921
5.321	1	1	1	111.263
5.361	1	1	1	138.399
5.401	1	1	1	27.5831
5.441	1	1	1	5.98376
5.481	1	1	1	11.3603
5.521	1	1	1	39.5102
5.561	1	1	1	31.3516
5.601	1	1	1	9.87751
5.641	1	1	1	23.3929
5.681	1	1	1	7.32376
5.721	1	1	1	46.2302
5.761	1	1	1	38.687
5.801	1	1	1	8.49549
5.841	1	1	1	48.1071
5.881	1	1	1	35.047
5.921	1	1	1	19.3602
5.961	1	1	1	32.8995
6.001	1	1	1	48.7022
6.041	1	1	1	29.9629
6.081	1	1	1	1.22173
6.121	1	1	1	33.3524
6.161	1	1	1	73.1145
6.201	1	1	1	53.8707
6.241	1	1	1	22.5388
6.281	1	1	1	16.2766
6.321	1	1	1	1.45889
6.361	1	1	1	37.4799
6.401	1	1	1	70.8882
6.441	1	1	1	59.8243
6.481	1	1	1	57.2366
6.521	1	1	1	48.2676
6.561	1	1	1	18.6196
6.601	1	1	1	11.9173
6.641	1	1	1	10.7476
6.681	1	1	1	27.8818
6.721	1	1	1	32.5525
6.761	1	1	1	10.3125
6.801	1	1	1	20.0994
6.841	1	1	1	72.036
6.881	1	1	1	109.847
6.921	1	1	1	59.7552
6.961	1	1	1	9.36959
7.001	1	1	1	30.1675
7.041	1	1	1	6.1454
7.081	1	1	1	13.8186
7.121	1	1	1	10.2155
7.161	1	1	1	32.4304
7.201	1	1	1	72.5606
7.241	1	1	1	35.4228
7.281	1	1	1	6.32485
7.321	1	1	1	27.2917
7.361	1	1	1	50.9534
7.401	1	1	1	32.9466
7.441	1	1	1	11.4405
7.481	1	1	1	5.0321
7.521	1	1	1	1.94209
7.561	1	1	1	15.4301
7.601	1	1	1	44.335
7.641	1	1	1	92.3424
7.681	1	1	1	67.1545
7.721	1	1	1	12.1219
7.761	1	1	1	10.0616
7.801	1	1	1	18.8449
7.841	1	1	1	88.357
7.881	1	1	1	56.5628
7.921	1	1	1	5.74062
7.961	1	1	1	51.7886
8.001	1	1	1	4.65002
8.041	1	1	1	29.742
8.081	1	1	1	40.333
8.121	1	1	1	16.0472
8.161	1	1	1	16.3946
8.201	1	1	1	8.3667
8.241	1	1	1	8.81936
8.281	1	1	1	25.517
8.321	1	1	1	7.52351
8.361	1	1	1	25.6661
8.401	1	1	1	81.2273
8.441	1	1	1	81.9415
8.481	1	1	1	29.1004
8.521	1	1	1	14.0473
8.561	1	1	1	87.8013
8.601	1	1	1	113.107
8.641	1	1	1	93.7765
8.681	1	1	1	80.1061
8.721	1	1	1	10.8458
8.761	1	1	1	56.0137
8.801	1	1	1	139.685
8.841	1	1	1	86.851
8.881	1	1	1	52.7349
8.921	1	1	1	44.3301
8.961	1	1	1	13.1248
9.001	1	1	1	36.9493
