% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
511	1	1	1	0	10	501	0	1
530	1	1	1	0	20	1239	0	1
549	1	1	1	0	20	1239	0	1
550	1	1	1	0	20	1239	0	1
568	1	1	1	0	18	999	0	1
569	1	1	1	0	18	999	0	1
588	1	1	1	0	18	999	0	1
589	1	1	1	0	18	999	0	1
607	1	1	1	0	14	807	0	1
608	1	1	1	0	14	807	0	1
609	1	1	1	0	14	807	0	1
610	1	1	1	0	14	807	0	1
611	1	1	1	0	14	807	0	1
612	1	1	1	0	14	807	0	1
627	1	1	1	0	14	807	0	1
628	1	1	1	0	14	807	0	1
629	1	1	1	0	14	807	0	1
630	1	1	1	0	14	807	0	1
631	1	1	1	0	14	807	0	1
632	1	1	1	0	14	807	0	1
633	1	1	1	0	14	807	0	1
634	1	1	1	0	14	807	0	1
635	1	1	1	0	14	807	0	1
636	1	1	1	0	14	807	0	1
647	1	1	1	0	10	501	0	1
648	1	1	1	0	10	501	0	1
649	1	1	1	0	10	501	0	1
650	1	1	1	0	10	501	0	1
651	1	1	1	0	10	501	0	1
652	1	1	1	0	10	501	0	1
653	1	1	1	0	10	501	0	1
654	1	1	1	0	8	437	0	1
655	1	1	1	0	8	437	0	1
656	1	1	1	0	8	437	0	1
657	1	1	1	0	8	437	0	1
658	1	1	1	0	8	437	0	1
659	1	1	1	0	8	437	0	1
660	1	1	1	0	8	437	0	1
661	1	1	1	0	8	437	0	1
662	1	1	1	0	8	437	0	1
663	1	1	1	0	8	437	0	1
664	1	1	1	0	8	437	0	1
665	1	1	1	0	8	437	0	1
666	1	1	1	0	8	437	0	1
667	1	1	1	0	8	437	0	1
668	1	1	1	0	8	437	0	1
669	1	1	1	0	8	437	0	1
670	1	1	1	0	8	437	0	1
671	1	1	1	0	8	437	0	1
672	1	1	1	0	10	501	0	1
673	1	1	1	0	10	501	0	1
674	1	1	1	0	10	501	0	1
675	1	1	1	0	10	501	0	1
676	1	1	1	0	10	501	0	1
677	1	1	1	0	10	501	0	1
678	1	1	1	0	10	501	0	1
679	1	1	1	0	12	621	0	1
680	1	1	1	0	12	621	0	1
681	1	1	1	0	12	621	0	1
682	1	1	1	0	12	621	0	1
683	1	1	1	0	12	621	0	1
684	1	1	1	0	12	621	0	1
685	1	1	1	0	12	621	0	1
686	1	1	1	0	12	621	0	1
687	1	1	1	0	12	621	0	1
688	1	1	1	0	12	621	0	1
689	1	1	1	0	12	621	0	1
690	1	1	1	0	12	621	0	1
691	1	1	1	0	14	807	0	1
692	1	1	1	0	14	807	0	1
693	1	1	1	0	14	807	0	1
694	1	1	1	0	14	807	0	1
695	1	1	1	0	14	807	0	1
696	1	1	1	0	14	807	0	1
697	1	1	1	0	14	807	0	1
698	1	1	1	0	14	807	0	1
699	1	1	1	0	14	807	0	1
700	1	1	1	0	14	807	0	1
701	1	1	1	0	14	807	0	1
702	1	1	1	0	14	807	0	1
703	1	1	1	0	14	807	0	1
704	1	1	1	0	14	807	0	1
705	1	1	1	0	14	807	0	1
706	1	1	1	0	14	807	0	1
707	1	1	1	0	14	807	0	1
708	1	1	1	0	14	807	0	1
709	1	1	1	0	14	807	0	1
710	1	1	1	0	14	807	0	1
711	1	1	1	0	14	807	0	1
712	1	1	1	0	14	807	0	1
713	1	1	1	0	14	807	0	1
714	1	1	1	0	14	807	0	1
715	1	1	1	0	14	807	0	1
716	1	1	1	0	14	807	0	1
717	1	1	1	0	14	807	0	1
718	1	1	1	0	14	807	0	1
719	1	1	1	0	14	807	0	1
720	1	1	1	0	14	807	0	1
721	1	1	1	0	14	807	0	1
722	1	1	1	0	14	807	0	1
723	1	1	1	0	14	807	0	1
724	1	1	1	0	14	807	0	1
725	1	1	1	0	14	807	0	1
726	1	1	1	0	14	807	0	1
727	1	1	1	0	14	807	0	1
728	1	1	1	0	14	807	0	1
729	1	1	1	0	14	807	0	1
730	1	1	1	0	14	807	0	1
731	1	1	1	0	14	807	0	1
732	1	1	1	0	12	621	0	1
733	1	1	1	0	12	621	0	1
734	1	1	1	0	12	621	0	1
735	1	1	1	0	12	621	0	1
736	1	1	1	0	12	621	0	1
737	1	1	1	0	12	621	0	1
738	1	1	1	0	12	621	0	1
739	1	1	1	0	12	621	0	1
740	1	1	1	0	12	621	0	1
741	1	1	1	0	12	621	0	1
742	1	1	1	0	12	621	0	1
743	1	1	1	0	12	621	0	1
744	1	1	1	0	12	621	0	1
745	1	1	1	0	10	501	0	1
746	1	1	1	0	10	501	0	1
747	1	1	1	0	10	501	0	1
748	1	1	1	0	10	501	0	1
749	1	1	1	0	10	501	0	1
750	1	1	1	0	10	501	0	1
751	1	1	1	0	10	501	0	1
752	1	1	1	0	10	501	0	1
753	1	1	1	0	10	501	0	1
754	1	1	1	0	8	437	0	1
755	1	1	1	0	8	437	0	1
756	1	1	1	0	8	437	0	1
757	1	1	1	0	8	437	0	1
758	1	1	1	0	8	437	0	1
759	1	1	1	0	10	501	0	0
760	1	1	1	0	6	325	0	1
761	1	1	1	0	6	325	0	1
762	1	1	1	0	6	325	0	1
763	1	1	1	0	6	325	0	1
764	1	1	1	0	6	325	0	1
765	1	1	1	0	6	325	0	1
766	1	1	1	0	6	325	0	1
767	1	1	1	0	4	225	0	1
768	1	1	1	0	4	225	0	1
769	1	1	1	0	4	225	0	1
770	1	1	1	0	4	225	0	1
771	1	1	1	0	2	137	0	1
772	1	1	1	0	2	137	0	1
773	1	1	1	0	2	137	0	1
774	1	1	1	0	2	137	0	1
775	1	1	1	0	0	85	0	1
776	1	1	1	0	0	85	0	1
807	1	1	1	0	8	437	0	1
808	1	1	1	0	8	437	0	1
809	1	1	1	0	8	437	0	1
810	1	1	1	0	8	437	0	1
811	1	1	1	0	8	437	0	1
812	1	1	1	0	8	437	0	1
813	1	1	1	0	8	437	0	1
814	1	1	1	0	10	501	0	1
815	1	1	1	0	10	501	0	1
816	1	1	1	0	10	501	0	1
817	1	1	1	0	10	501	0	1
818	1	1	1	0	10	501	0	1
819	1	1	1	0	10	501	0	1
820	1	1	1	0	12	621	0	1
821	1	1	1	0	12	621	0	1
822	1	1	1	0	12	621	0	1
823	1	1	1	0	12	621	0	1
824	1	1	1	0	12	621	0	1
825	1	1	1	0	12	621	0	1
826	1	1	1	0	12	621	0	1
827	1	1	1	0	12	621	0	1
828	1	1	1	0	12	621	0	1
829	1	1	1	0	12	621	0	1
830	1	1	1	0	12	621	0	1
831	1	1	1	0	12	621	0	1
832	1	1	1	0	12	621	0	1
833	1	1	1	0	12	621	0	1
834	1	1	1	0	12	621	0	1
835	1	1	1	0	12	621	0	1
836	1	1	1	0	12	621	0	1
837	1	1	1	0	14	807	0	1
838	1	1	1	0	14	807	0	1
839	1	1	1	0	14	807	0	1
840	1	1	1	0	14	807	0	1
841	1	1	1	0	14	807	0	1
842	1	1	1	0	14	807	0	1
843	1	1	1	0	14	807	0	1
844	1	1	1	0	14	807	0	1
845	1	1	1	0	14	807	0	1
846	1	1	1	0	14	807	0	1
847	1	1	1	0	14	807	0	1
848	1	1	1	0	14	807	0	1
849	1	1	1	0	14	807	0	1
850	1	1	1	0	14	807	0	1
851	1	1	1	0	14	807	0	1
852	1	1	1	0	14	807	0	1
853	1	1	1	0	14	807	0	1
854	1	1	1	0	14	807	0	1
855	1	1	1	0	16	967	0	1
856	1	1	1	0	16	967	0	1
857	1	1	1	0	16	967	0	1
858	1	1	1	0	16	967	0	1
859	1	1	1	0	16	967	0	1
860	1	1	1	0	16	967	0	1
861	1	1	1	0	16	967	0	1
862	1	1	1	0	16	967	0	1
863	1	1	1	0	18	999	0	1
872	1	1	1	0	18	999	0	1
873	1	1	1	0	18	999	0	1
874	1	1	1	0	18	999	0	1
875	1	1	1	0	18	999	0	1
876	1	1	1	0	18	999	0	1
877	1	1	1	0	18	999	0	1
878	1	1	1	0	18	999	0	1
879	1	1	1	0	20	1239	0	1
880	1	1	1	0	20	1239	0	1
881	1	1	1	0	20	1239	0	1
882	1	1	1	0	20	1239	0	1
883	1	1	1	0	20	1239	0	1
884	1	1	1	0	20	1239	0	1
885	1	1	1	0	20	1239	0	1
886	1	1	1	0	20	1239	0	1
887	1	1	1	0	20	1239	0	1
888	1	1	1	0	20	1239	0	1
889	1	1	1	0	20	1239	0	1
890	1	1	1	0	20	1239	0	1
891	1	1	1	0	20	1239	0	1
892	1	1	1	0	22	1431	0	1
893	1	1	1	0	22	1431	0	1
894	1	1	1	0	22	1431	0	1
895	1	1	1	0	22	1431	0	1
896	1	1	1	0	22	1431	0	1
897	1	1	1	0	22	1431	0	1
898	1	1	1	0	22	1431	0	1
899	1	1	1	0	22	1431	0	1
900	1	1	1	0	22	1431	0	1
901	1	1	1	0	22	1431	0	1
902	1	1	1	0	22	1431	0	1
903	1	1	1	0	22	1431	0	1
904	1	1	1	0	22	1431	0	1
909	1	1	1	0	22	1431	0	1
910	1	1	1	0	22	1431	0	1
911	1	1	1	0	22	1431	0	1
912	1	1	1	0	22	1431	0	1
913	1	1	1	0	22	1431	0	1
914	1	1	1	0	22	1431	0	1
915	1	1	1	0	22	1431	0	1
916	1	1	1	0	20	1239	0	1
917	1	1	1	0	20	1239	0	1
918	1	1	1	0	20	1239	0	1
919	1	1	1	0	20	1239	0	1
920	1	1	1	0	20	1239	0	1
921	1	1	1	0	20	1239	0	1
922	1	1	1	0	20	1239	0	1
923	1	1	1	0	20	1239	0	1
924	1	1	1	0	20	1239	0	1
925	1	1	1	0	18	999	0	1
926	1	1	1	0	18	999	0	1
927	1	1	1	0	18	999	0	1
928	1	1	1	0	18	999	0	1
929	1	1	1	0	18	999	0	1
930	1	1	1	0	18	999	0	1
931	1	1	1	0	18	999	0	1
932	1	1	1	0	18	999	0	1
933	1	1	1	0	18	999	0	1
934	1	1	1	0	18	999	0	1
935	1	1	1	0	16	967	0	1
936	1	1	1	0	16	967	0	1
937	1	1	1	0	16	967	0	1
938	1	1	1	0	16	967	0	1
939	1	1	1	0	16	967	0	1
940	1	1	1	0	14	807	0	1
941	1	1	1	0	14	807	0	1
942	1	1	1	0	14	807	0	1
943	1	1	1	0	14	807	0	1
944	1	1	1	0	14	807	0	1
945	1	1	1	0	14	807	0	1
946	1	1	1	0	14	807	0	1
947	1	1	1	0	14	807	0	1
948	1	1	1	0	14	807	0	1
949	1	1	1	0	12	621	0	1
950	1	1	1	0	12	621	0	1
951	1	1	1	0	12	621	0	1
952	1	1	1	0	12	621	0	1
953	1	1	1	0	12	621	0	1
954	1	1	1	0	12	621	0	1
955	1	1	1	0	12	621	0	1
956	1	1	1	0	12	621	0	1
957	1	1	1	0	12	621	0	1
958	1	1	1	0	12	621	0	1
959	1	1	1	0	12	621	0	1
960	1	1	1	0	12	621	0	1
961	1	1	1	0	12	621	0	1
962	1	1	1	0	12	621	0	1
963	1	1	1	0	12	621	0	1
964	1	1	1	0	12	621	0	1
965	1	1	1	0	10	501	0	1
966	1	1	1	0	10	501	0	1
967	1	1	1	0	10	501	0	1
968	1	1	1	0	10	501	0	1
969	1	1	1	0	10	501	0	1
970	1	1	1	0	10	501	0	1
971	1	1	1	0	10	501	0	1
972	1	1	1	0	10	501	0	1
973	1	1	1	0	8	437	0	1
974	1	1	1	0	8	437	0	1
975	1	1	1	0	8	437	0	1
976	1	1	1	0	8	437	0	1
977	1	1	1	0	6	325	0	1
978	1	1	1	0	6	325	0	1
979	1	1	1	0	6	325	0	1
980	1	1	1	0	4	225	0	1
981	1	1	1	0	4	225	0	1
982	1	1	1	0	4	225	0	1
983	1	1	1	0	2	137	0	1
984	1	1	1	0	2	137	0	1
985	1	1	1	0	2	137	0	1
986	1	1	1	0	0	85	0	1
987	1	1	1	0	0	85	0	1
1007	1	1	1	0	20	1239	0	1
1008	1	1	1	0	20	1239	0	1
1009	1	1	1	0	20	1239	0	1
1010	1	1	1	0	20	1239	0	1
1011	1	1	1	0	20	1239	0	1
1012	1	1	1	0	20	1239	0	1
1013	1	1	1	0	20	1239	0	1
1014	1	1	1	0	18	999	0	1
1015	1	1	1	0	18	999	0	1
1016	1	1	1	0	18	999	0	1
1017	1	1	1	0	18	999	0	1
1018	1	1	1	0	18	999	0	1
1019	1	1	1	0	18	999	0	1
1020	1	1	1	0	18	999	0	1
1021	1	1	1	0	18	999	0	1
1022	1	1	1	0	18	999	0	1
1023	1	1	1	0	18	999	0	1
1024	1	1	1	0	18	999	0	1
1025	1	1	1	0	18	999	0	1
1026	1	1	1	0	18	999	0	1
1027	1	1	1	0	18	999	0	1
1028	1	1	1	0	18	999	0	1
1029	1	1	1	0	18	999	0	1
1030	1	1	1	0	18	999	0	1
1031	1	1	1	0	18	999	0	1
1032	1	1	1	0	18	999	0	1
1033	1	1	1	0	18	999	0	1
1034	1	1	1	0	18	999	0	1
1035	1	1	1	0	18	999	0	1
1036	1	1	1	0	18	999	0	1
1037	1	1	1	0	18	999	0	1
1038	1	1	1	0	18	999	0	1
1039	1	1	1	0	18	999	0	1
1040	1	1	1	0	18	999	0	1
1041	1	1	1	0	18	999	0	1
1042	1	1	1	0	18	999	0	1
1043	1	1	1	0	18	999	0	1
1044	1	1	1	0	18	999	0	1
1045	1	1	1	0	18	999	0	1
1046	1	1	1	0	18	999	0	1
1047	1	1	1	0	18	999	0	1
1048	1	1	1	0	18	999	0	1
1049	1	1	1	0	18	999	0	1
1050	1	1	1	0	18	999	0	1
1051	1	1	1	0	18	999	0	1
1052	1	1	1	0	18	999	0	1
1053	1	1	1	0	18	999	0	1
1054	1	1	1	0	18	999	0	1
1055	1	1	1	0	18	999	0	1
1056	1	1	1	0	18	999	0	1
1057	1	1	1	0	18	999	0	1
1058	1	1	1	0	18	999	0	1
1059	1	1	1	0	18	999	0	1
1060	1	1	1	0	18	999	0	1
1061	1	1	1	0	18	999	0	1
1062	1	1	1	0	18	999	0	1
1063	1	1	1	0	18	999	0	1
1064	1	1	1	0	18	999	0	1
1065	1	1	1	0	18	999	0	1
1066	1	1	1	0	16	967	0	1
1067	1	1	1	0	16	967	0	1
1068	1	1	1	0	18	999	0	0
1069	1	1	1	0	18	999	0	0
1070	1	1	1	0	18	999	0	0
1071	1	1	1	0	18	999	0	0
1072	1	1	1	0	18	999	0	0
1073	1	1	1	0	14	807	0	1
1074	1	1	1	0	14	807	0	1
1075	1	1	1	0	14	807	0	1
1076	1	1	1	0	14	807	0	1
1077	1	1	1	0	14	807	0	1
1078	1	1	1	0	14	807	0	1
1079	1	1	1	0	14	807	0	1
1080	1	1	1	0	14	807	0	1
1081	1	1	1	0	14	807	0	1
1082	1	1	1	0	12	621	0	1
1083	1	1	1	0	12	621	0	1
1084	1	1	1	0	12	621	0	1
1085	1	1	1	0	12	621	0	1
1086	1	1	1	0	12	621	0	1
1087	1	1	1	0	12	621	0	1
