0.645969s 2 RttEstimator:Measurement(0x7faf0a4711e0, +75296667.0ns)
0.725558s 2 RttEstimator:Measurement(0x7faf0a4711e0, +79588955.0ns)
0.805147s 2 RttEstimator:Measurement(0x7faf0a4711e0, +79588955.0ns)
0.880112s 2 RttEstimator:Measurement(0x7faf0a4711e0, +154553911.0ns)
0.88936s 2 RttEstimator:Measurement(0x7faf0a4711e0, +84212954.0ns)
0.959701s 2 RttEstimator:Measurement(0x7faf0a4711e0, +79588955.0ns)
0.968949s 2 RttEstimator:Measurement(0x7faf0a4711e0, +88836953.0ns)
0.978197s 2 RttEstimator:Measurement(0x7faf0a4711e0, +88836953.0ns)
1.03929s 2 RttEstimator:Measurement(0x7faf0a4711e0, +79588955.0ns)
1.04854s 2 RttEstimator:Measurement(0x7faf0a4711e0, +88836953.0ns)
1.05779s 2 RttEstimator:Measurement(0x7faf0a4711e0, +88836953.0ns)
1.06703s 2 RttEstimator:Measurement(0x7faf0a4711e0, +88836953.0ns)
1.11426s 2 RttEstimator:Measurement(0x7faf0a4711e0, +136057915.0ns)
1.1235s 2 RttEstimator:Measurement(0x7faf0a4711e0, +84212954.0ns)
1.13275s 2 RttEstimator:Measurement(0x7faf0a4711e0, +84212954.0ns)
1.142s 2 RttEstimator:Measurement(0x7faf0a4711e0, +93460952.0ns)
1.15125s 2 RttEstimator:Measurement(0x7faf0a4711e0, +93460952.0ns)
1.1605s 2 RttEstimator:Measurement(0x7faf0a4711e0, +93460952.0ns)
1.18922s 2 RttEstimator:Measurement(0x7faf0a4711e0, +122185918.0ns)
1.19847s 2 RttEstimator:Measurement(0x7faf0a4711e0, +84212954.0ns)
1.20772s 2 RttEstimator:Measurement(0x7faf0a4711e0, +84212954.0ns)
1.21696s 2 RttEstimator:Measurement(0x7faf0a4711e0, +93460952.0ns)
1.22621s 2 RttEstimator:Measurement(0x7faf0a4711e0, +93460952.0ns)
1.23546s 2 RttEstimator:Measurement(0x7faf0a4711e0, +93460952.0ns)
1.24471s 2 RttEstimator:Measurement(0x7faf0a4711e0, +102708950.0ns)
1.25396s 2 RttEstimator:Measurement(0x7faf0a4711e0, +102708950.0ns)
1.2632s 2 RttEstimator:Measurement(0x7faf0a4711e0, +102708950.0ns)
1.27245s 2 RttEstimator:Measurement(0x7faf0a4711e0, +111956948.0ns)
1.2817s 2 RttEstimator:Measurement(0x7faf0a4711e0, +92479980.0ns)
1.29095s 2 RttEstimator:Measurement(0x7faf0a4711e0, +92479980.0ns)
1.3002s 2 RttEstimator:Measurement(0x7faf0a4711e0, +101727978.0ns)
1.30944s 2 RttEstimator:Measurement(0x7faf0a4711e0, +101727978.0ns)
1.31869s 2 RttEstimator:Measurement(0x7faf0a4711e0, +101727978.0ns)
1.32794s 2 RttEstimator:Measurement(0x7faf0a4711e0, +110975976.0ns)
1.33719s 2 RttEstimator:Measurement(0x7faf0a4711e0, +110975976.0ns)
1.34644s 2 RttEstimator:Measurement(0x7faf0a4711e0, +110975976.0ns)
1.35568s 2 RttEstimator:Measurement(0x7faf0a4711e0, +120223974.0ns)
1.36493s 2 RttEstimator:Measurement(0x7faf0a4711e0, +120223974.0ns)
1.37418s 2 RttEstimator:Measurement(0x7faf0a4711e0, +120223974.0ns)
1.38343s 2 RttEstimator:Measurement(0x7faf0a4711e0, +129471972.0ns)
1.39268s 2 RttEstimator:Measurement(0x7faf0a4711e0, +129471972.0ns)
1.40192s 2 RttEstimator:Measurement(0x7faf0a4711e0, +129471972.0ns)
1.41117s 2 RttEstimator:Measurement(0x7faf0a4711e0, +138719970.0ns)
1.42042s 2 RttEstimator:Measurement(0x7faf0a4711e0, +138719970.0ns)
1.42967s 2 RttEstimator:Measurement(0x7faf0a4711e0, +138719970.0ns)
1.43892s 2 RttEstimator:Measurement(0x7faf0a4711e0, +147967968.0ns)
1.44816s 2 RttEstimator:Measurement(0x7faf0a4711e0, +147967968.0ns)
1.45741s 2 RttEstimator:Measurement(0x7faf0a4711e0, +147967968.0ns)
1.46666s 2 RttEstimator:Measurement(0x7faf0a4711e0, +157215966.0ns)
1.47591s 2 RttEstimator:Measurement(0x7faf0a4711e0, +157215966.0ns)
1.48516s 2 RttEstimator:Measurement(0x7faf0a4711e0, +157215966.0ns)
1.4944s 2 RttEstimator:Measurement(0x7faf0a4711e0, +166463964.0ns)
1.50365s 2 RttEstimator:Measurement(0x7faf0a4711e0, +166463964.0ns)
1.5129s 2 RttEstimator:Measurement(0x7faf0a4711e0, +166463964.0ns)
1.52215s 2 RttEstimator:Measurement(0x7faf0a4711e0, +175711962.0ns)
1.5314s 2 RttEstimator:Measurement(0x7faf0a4711e0, +175711962.0ns)
1.54064s 2 RttEstimator:Measurement(0x7faf0a4711e0, +175711962.0ns)
1.54989s 2 RttEstimator:Measurement(0x7faf0a4711e0, +184959960.0ns)
1.55914s 2 RttEstimator:Measurement(0x7faf0a4711e0, +184959960.0ns)
1.56839s 2 RttEstimator:Measurement(0x7faf0a4711e0, +184959960.0ns)
1.57764s 2 RttEstimator:Measurement(0x7faf0a4711e0, +194207958.0ns)
1.58688s 2 RttEstimator:Measurement(0x7faf0a4711e0, +194207958.0ns)
1.59613s 2 RttEstimator:Measurement(0x7faf0a4711e0, +194207958.0ns)
1.60538s 2 RttEstimator:Measurement(0x7faf0a4711e0, +203455956.0ns)
1.61463s 2 RttEstimator:Measurement(0x7faf0a4711e0, +203455956.0ns)
1.62388s 2 RttEstimator:Measurement(0x7faf0a4711e0, +203455956.0ns)
1.63312s 2 RttEstimator:Measurement(0x7faf0a4711e0, +212703954.0ns)
1.64237s 2 RttEstimator:Measurement(0x7faf0a4711e0, +212703954.0ns)
1.65162s 2 RttEstimator:Measurement(0x7faf0a4711e0, +212703954.0ns)
1.66087s 2 RttEstimator:Measurement(0x7faf0a4711e0, +221951952.0ns)
1.67012s 2 RttEstimator:Measurement(0x7faf0a4711e0, +221951952.0ns)
1.67936s 2 RttEstimator:Measurement(0x7faf0a4711e0, +221951952.0ns)
1.68861s 2 RttEstimator:Measurement(0x7faf0a4711e0, +231199950.0ns)
1.69786s 2 RttEstimator:Measurement(0x7faf0a4711e0, +231199950.0ns)
1.70711s 2 RttEstimator:Measurement(0x7faf0a4711e0, +231199950.0ns)
1.71636s 2 RttEstimator:Measurement(0x7faf0a4711e0, +240447948.0ns)
1.7256s 2 RttEstimator:Measurement(0x7faf0a4711e0, +240447948.0ns)
1.73485s 2 RttEstimator:Measurement(0x7faf0a4711e0, +240447948.0ns)
1.7441s 2 RttEstimator:Measurement(0x7faf0a4711e0, +249695946.0ns)
1.75335s 2 RttEstimator:Measurement(0x7faf0a4711e0, +249695946.0ns)
1.7626s 2 RttEstimator:Measurement(0x7faf0a4711e0, +249695946.0ns)
1.77184s 2 RttEstimator:Measurement(0x7faf0a4711e0, +258943944.0ns)
1.78109s 2 RttEstimator:Measurement(0x7faf0a4711e0, +258943944.0ns)
1.79034s 2 RttEstimator:Measurement(0x7faf0a4711e0, +258943944.0ns)
1.79959s 2 RttEstimator:Measurement(0x7faf0a4711e0, +268191942.0ns)
1.80884s 2 RttEstimator:Measurement(0x7faf0a4711e0, +268191942.0ns)
1.81808s 2 RttEstimator:Measurement(0x7faf0a4711e0, +268191942.0ns)
1.82733s 2 RttEstimator:Measurement(0x7faf0a4711e0, +277439940.0ns)
1.83658s 2 RttEstimator:Measurement(0x7faf0a4711e0, +277439940.0ns)
1.84583s 2 RttEstimator:Measurement(0x7faf0a4711e0, +277439940.0ns)
1.85508s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
1.86432s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
1.87357s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
1.88282s 2 RttEstimator:Measurement(0x7faf0a4711e0, +295935936.0ns)
1.89207s 2 RttEstimator:Measurement(0x7faf0a4711e0, +295935936.0ns)
1.90132s 2 RttEstimator:Measurement(0x7faf0a4711e0, +295935936.0ns)
1.91056s 2 RttEstimator:Measurement(0x7faf0a4711e0, +305183934.0ns)
1.91981s 2 RttEstimator:Measurement(0x7faf0a4711e0, +305183934.0ns)
1.92906s 2 RttEstimator:Measurement(0x7faf0a4711e0, +305183934.0ns)
1.93831s 2 RttEstimator:Measurement(0x7faf0a4711e0, +314431932.0ns)
1.94756s 2 RttEstimator:Measurement(0x7faf0a4711e0, +314431932.0ns)
1.9568s 2 RttEstimator:Measurement(0x7faf0a4711e0, +314431932.0ns)
1.96605s 2 RttEstimator:Measurement(0x7faf0a4711e0, +323679930.0ns)
1.9753s 2 RttEstimator:Measurement(0x7faf0a4711e0, +323679930.0ns)
1.98455s 2 RttEstimator:Measurement(0x7faf0a4711e0, +323679930.0ns)
1.9938s 2 RttEstimator:Measurement(0x7faf0a4711e0, +332927928.0ns)
2.00304s 2 RttEstimator:Measurement(0x7faf0a4711e0, +332927928.0ns)
2.01229s 2 RttEstimator:Measurement(0x7faf0a4711e0, +332927928.0ns)
2.02154s 2 RttEstimator:Measurement(0x7faf0a4711e0, +342175926.0ns)
2.03079s 2 RttEstimator:Measurement(0x7faf0a4711e0, +342175926.0ns)
2.04004s 2 RttEstimator:Measurement(0x7faf0a4711e0, +342175926.0ns)
2.04928s 2 RttEstimator:Measurement(0x7faf0a4711e0, +351423924.0ns)
2.05853s 2 RttEstimator:Measurement(0x7faf0a4711e0, +351423924.0ns)
2.06778s 2 RttEstimator:Measurement(0x7faf0a4711e0, +351423924.0ns)
2.07703s 2 RttEstimator:Measurement(0x7faf0a4711e0, +360671922.0ns)
2.08628s 2 RttEstimator:Measurement(0x7faf0a4711e0, +360671922.0ns)
2.09552s 2 RttEstimator:Measurement(0x7faf0a4711e0, +360671922.0ns)
2.10477s 2 RttEstimator:Measurement(0x7faf0a4711e0, +369919920.0ns)
2.11402s 2 RttEstimator:Measurement(0x7faf0a4711e0, +369919920.0ns)
