15.843s 3 15.843 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 32696, restart from seqnum 1956937
16.955s 3 16.955 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 27872, restart from seqnum 2022329
20.759s 3 20.759 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 8576, restart from seqnum 2305873
27.679s 3 27.679 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 9380, restart from seqnum 2966225
29.982s 3 29.982 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 4824, restart from seqnum 3139353
30.383s 3 30.383 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 4556, restart from seqnum 3139889
32.342s 3 32.342 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 2948, restart from seqnum 3212249
33.04s 3 33.04 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 1072, restart from seqnum 3226721
36.364s 3 36.364 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 6432, restart from seqnum 3553145
36.883s 3 36.883 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 2144, restart from seqnum 3592809
39.589s 3 39.589 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 4824, restart from seqnum 3783089
43.041s 3 43.041 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 4556, restart from seqnum 3939601
45.358s 3 45.358 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 3216, restart from seqnum 4022145
45.963s 3 45.963 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 2144, restart from seqnum 4060737
46.357s 3 46.357 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 1072, restart from seqnum 4070385
46.697s 3 46.697 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 1072, restart from seqnum 4076281
47.454s 3 47.454 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 1608, restart from seqnum 4095041
48.237s 3 48.237 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 1608, restart from seqnum 4118625
49.065s 3 49.065 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 1072, restart from seqnum 4127737
51.124s 3 51.124 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 3752, restart from seqnum 4244585
52.253s 3 52.253 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 2144, restart from seqnum 4281033
55.459s 3 55.459 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 5092, restart from seqnum 4487929
58.558s 3 58.558 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 5092, restart from seqnum 4683569
59.119s 3 59.119 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 1876, restart from seqnum 4715193
59.875s 3 59.875 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 1072, restart from seqnum 4728593
60.201s 3 60.201 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 1072, restart from seqnum 4732881
66.121s 3 66.121 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 7504, restart from seqnum 5184729
67.891s 3 67.891 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 4020, restart from seqnum 5306937
68.799s 3 68.799 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 4020, restart from seqnum 5317657
69.371s 3 69.371 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 1340, restart from seqnum 5336953
69.771s 3 69.771 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 1340, restart from seqnum 5336953
70.083s 3 70.083 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 1072, restart from seqnum 5344457
73.095s 3 73.095 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 5360, restart from seqnum 5567433
73.504s 3 73.504 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 1876, restart from seqnum 5594233
74.354s 3 74.354 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 1072, restart from seqnum 5605489
75.281s 3 75.281 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 1608, restart from seqnum 5628001
80.41s 3 80.41 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 5896, restart from seqnum 5898145
80.913s 3 80.913 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 1876, restart from seqnum 5929769
81.862s 3 81.862 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 2144, restart from seqnum 5958177
82.759s 3 82.759 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 1340, restart from seqnum 5977473
83.117s 3 83.117 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 1072, restart from seqnum 5986585
83.7s 3 83.7 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 1072, restart from seqnum 5997305
85.121s 3 85.121 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 2412, restart from seqnum 6040185
85.42s 3 85.42 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 1072, restart from seqnum 6050905
85.998s 3 85.998 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 1072, restart from seqnum 6058409
86.594s 3 86.594 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 1340, restart from seqnum 6072881
86.956s 3 86.956 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 1072, restart from seqnum 6079849
87.317s 3 87.317 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 1072, restart from seqnum 6084673
87.717s 3 87.717 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 1072, restart from seqnum 6088425
88.378s 3 88.378 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 1072, restart from seqnum 6093249
89.278s 3 89.278 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 1340, restart from seqnum 6109865
90.894s 3 90.894 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 2680, restart from seqnum 6167217
91.49s 3 91.49 [node 3] TcpNewReno:Retransmit(): RTO. Reset cwnd to 536, ssthresh to 1072, restart from seqnum 6181689
